Reference,Value,Description,Footprint,Qty,Notes
,,RESISTORS,,,
R1/R12/R23/R34/R45,1k,Input series resistor (CH0-4),R_0402_1005Metric,5,1% — Bourns CR0402-FX-1001ELF
R4/R15/R26/R37/R48,30k,Divider top R_DIV_H (CH0-4),R_0402_1005Metric,5,1%
R5/R16/R27/R38/R49,10k,Divider bottom R_DIV_L (CH0-4),R_0402_1005Metric,5,1%
R6/R17/R28/R39/R50,10k,Sallen-Key R_SK1 (CH0-4),R_0402_1005Metric,5,1%
R8/R19/R30/R41/R52,10k,Sallen-Key R_SK2 (CH0-4),R_0402_1005Metric,5,1%
,,RESISTOR SUBTOTAL,,,25
,,,,,
,,CAPACITORS (signal path),,,
C7/C18/C29/C40/C51,2.2nF,SK feedback cap C_FB (CH0-4),C_0402_1005Metric,5,C0G/NP0 mandatory — critical for fn accuracy
C9/C20/C31/C42/C53,4.7nF,SK shunt cap C_SH (CH0-4),C_0402_1005Metric,5,C0G/NP0 mandatory
,,CAPACITORS (power bypass),,,
C_BP1-C_BP16,100nF,TL072 supply bypass (Vcc+Vee per IC),C_0402_1005Metric,16,X5R or C0G — 2 per SOIC-8 package
C_BLK1/C_BLK2,10µF,Bulk bypass ±9V rails,C_0805_2012Metric,2,X5R ceramic or tantalum
C_BLK3/C_BLK4,10µF,Bulk bypass ±2.5V ADC rails,C_0805_2012Metric,2,X5R ceramic
,,CAPACITOR SUBTOTAL,,,30
,,,,,
,,DIODES,,,
D2/D13/D24/D35/D46,BAT54,Input clamp to +9V (CH0-4),D_SOD-323,5,Nexperia BAT54W
D3/D14/D25/D36/D47,BAT54,Input clamp to -9V (CH0-4),D_SOD-323,5,
D10/D21/D32/D43/D54,BAT54,Output clamp to +2.5V (CH0-4),D_SOD-323,5,
D11/D22/D33/D44/D55,BAT54,Output clamp to -2.5V (CH0-4),D_SOD-323,5,
,,DIODE SUBTOTAL,,,20
,,,,,
,,ICs,,,
U1-U8,TL072,Dual op-amp — 3 units/ch × 5 ch = 15 units,SOIC-8_3.9x4.9mm_P1.27mm,8,U8B spare — TL082 or OPA2134 can substitute
,,IC SUBTOTAL,,,8
,,,,,
,,GRAND TOTAL,,,83
,,,,,
,,IC UNIT ASSIGNMENT,,,
Unit,IC,Channel,Function,,
U1A,U1,CH0,Input buffer (R_IN → ±9V clamp → TL072-A),,
U1B,U1,CH0,Divider buffer (÷4 attenuator → TL072-B),,
U2A,U2,CH0,SK active element (Sallen-Key TL072-C),,
U2B,U2,CH1,Input buffer,,
U3A,U3,CH1,Divider buffer,,
U3B,U3,CH1,SK active element,,
U4A,U4,CH2,Input buffer,,
U4B,U4,CH2,Divider buffer,,
U5A,U5,CH2,SK active element,,
U5B,U5,CH3,Input buffer,,
U6A,U6,CH3,Divider buffer,,
U6B,U6,CH3,SK active element,,
U7A,U7,CH4,Input buffer,,
U7B,U7,CH4,Divider buffer,,
U8A,U8,CH4,SK active element,,
U8B,U8,—,SPARE,,
,,,,,
,,FILTER DESIGN (per channel),,,
Parameter,Value,Formula,,,
Topology,Unity-gain Sallen-Key 2nd-order Butterworth LPF,,,,
R_SK1 = R_SK2,10kΩ,Source impedance = 0Ω (driven by TL072-B buffer),,,
C_FB,2.2nF C0G,Node-A to output,,,
C_SH,4.7nF C0G,Non-inv input to GND,,,
Q,0.731,sqrt(C_SH/C_FB)/2 = sqrt(4.7/2.2)/2,,,
fn,4.95 kHz,1/(2π×10k×sqrt(2.2n×4.7n)),,,
Attenuation,÷4 (−12 dB),R_DIV_H=30k / R_DIV_L=10k → gain=0.25,,,
Chua ±8V → ADC,±2.0V,Within ADS1262 ±2.5V input range,,,
