 time            v(NIN)          v(NDIV)         v(NSKOUT)      
 0.00000000e+00  0.00000000e+00 -1.12499440e-05 -1.01249157e-04 
 5.00000000e-09  2.51327412e-04 -8.26705433e-06 -1.01247581e-04 
 1.00000000e-08  5.02654824e-04 -1.22107386e-06 -1.01242403e-04 
 2.00000000e-08  1.00530965e-03  2.14970904e-05 -1.01221110e-04 
 4.00000000e-08  2.01061928e-03  1.14319524e-04 -1.01086524e-04 
 8.00000000e-08  4.02123843e-03  4.30273331e-04 -1.00431161e-04 
 1.60000000e-07  8.04247584e-03  1.30273746e-03 -9.85622019e-05 
 3.20000000e-07  1.60849435e-02  3.28724455e-03 -9.63593488e-05 
 6.33832519e-07  3.18598131e-02  7.23747754e-03 -9.60680235e-05 
 1.13383252e-06  5.69921565e-02  1.35169928e-02 -9.46577796e-05 
 1.63383252e-06  8.21239374e-02  1.98022205e-02 -9.01485695e-05 
 2.13383252e-06  1.07254908e-01  2.60834756e-02 -8.17089026e-05 
 2.63383252e-06  1.32384819e-01  3.23669060e-02 -6.76331014e-05 
 3.13383252e-06  1.57513425e-01  3.86484558e-02 -4.69860027e-05 
 3.63383252e-06  1.82640475e-01  4.49306185e-02 -1.83696875e-05 
 4.13383252e-06  2.07765723e-01  5.12117098e-02  1.91915999e-05 
 4.63383252e-06  2.32888921e-01  5.74926851e-02  6.68756692e-05 
 5.13383252e-06  2.58009820e-01  6.37728567e-02  1.25637719e-04 
 5.63383252e-06  2.83128172e-01  7.00525349e-02  1.96499583e-04 
 6.13383252e-06  3.08243730e-01  7.63314491e-02  2.80361439e-04 
 6.63383252e-06  3.33356246e-01  8.26096408e-02  3.78127583e-04 
 7.13383252e-06  3.58465472e-01  8.88870117e-02  4.90628632e-04 
 7.63383252e-06  3.83571160e-01  9.51634935e-02  6.18673469e-04 
 8.13383252e-06  4.08673062e-01  1.01439058e-01  7.63019628e-04 
 8.63383252e-06  4.33770931e-01  1.07713592e-01  9.24393911e-04 
 9.13383252e-06  4.58864518e-01  1.13987095e-01  1.10348250e-03 
 9.63383252e-06  4.83953577e-01  1.20259438e-01  1.30093902e-03 
 1.01338325e-05  5.09037859e-01  1.26530629e-01  1.51738220e-03 
 1.06338325e-05  5.34117118e-01  1.32800536e-01  1.75339920e-03 
 1.11338325e-05  5.59191105e-01  1.39069167e-01  2.00954587e-03 
 1.16338325e-05  5.84259573e-01  1.45336390e-01  2.28634849e-03 
 1.21338325e-05  6.09322274e-01  1.51602212e-01  2.58430469e-03 
 1.26338325e-05  6.34378962e-01  1.57866506e-01  2.90388471e-03 
 1.31338325e-05  6.59429388e-01  1.64129271e-01  3.24553245e-03 
 1.36338325e-05  6.84473307e-01  1.70390387e-01  3.60966653e-03 
 1.41338325e-05  7.09510469e-01  1.76649850e-01  3.99668129e-03 
 1.46338325e-05  7.34540630e-01  1.82907540e-01  4.40694778e-03 
 1.51338325e-05  7.59563540e-01  1.89163453e-01  4.84081464e-03 
 1.56338325e-05  7.84578954e-01  1.95417471e-01  5.29860909e-03 
 1.61338325e-05  8.09586625e-01  2.01669586e-01  5.78063768e-03 
 1.66338325e-05  8.34586305e-01  2.07919686e-01  6.28718722e-03 
 1.71338325e-05  8.59577749e-01  2.14167757e-01  6.81852550e-03 
 1.76338325e-05  8.84560708e-01  2.20413691e-01  7.37490210e-03 
 1.81338325e-05  9.09534937e-01  2.26657471e-01  7.95654910e-03 
 1.86338325e-05  9.34500190e-01  2.32898992e-01  8.56368182e-03 
 1.91338325e-05  9.59456219e-01  2.39138236e-01  9.19649944e-03 
 1.96338325e-05  9.84402779e-01  2.45375098e-01  9.85518575e-03 
 2.01338325e-05  1.00933962e+00  2.51609559e-01  1.05399096e-02 
 2.06338325e-05  1.03426651e+00  2.57841516e-01  1.12508258e-02 
 2.11338325e-05  1.05918318e+00  2.64070947e-01  1.19880754e-02 
 2.16338325e-05  1.08408940e+00  2.70297753e-01  1.27517864e-02 
 2.21338325e-05  1.10898492e+00  2.76521909e-01  1.35420742e-02 
 2.26338325e-05  1.13386950e+00  2.82743318e-01  1.43590423e-02 
 2.31338325e-05  1.15874289e+00  2.88961952e-01  1.52027826e-02 
 2.36338325e-05  1.18360483e+00  2.95177719e-01  1.60733758e-02 
 2.41338325e-05  1.20845510e+00  3.01390587e-01  1.69708923e-02 
 2.46338325e-05  1.23329344e+00  3.07600465e-01  1.78953921e-02 
 2.51338325e-05  1.25811961e+00  3.13807321e-01  1.88469255e-02 
 2.56338325e-05  1.28293336e+00  3.20011066e-01  1.98255335e-02 
 2.61338325e-05  1.30773445e+00  3.26211666e-01  2.08312483e-02 
 2.66338325e-05  1.33252263e+00  3.32409033e-01  2.18640932e-02 
 2.71338325e-05  1.35729766e+00  3.38603131e-01  2.29240836e-02 
 2.76338325e-05  1.38205930e+00  3.44793875e-01  2.40112268e-02 
 2.81338325e-05  1.40680729e+00  3.50981228e-01  2.51255229e-02 
 2.86338325e-05  1.43154140e+00  3.57165104e-01  2.62669644e-02 
 2.91338325e-05  1.45626139e+00  3.63345466e-01  2.74355372e-02 
 2.96338325e-05  1.48096699e+00  3.69522231e-01  2.86312205e-02 
 3.01338325e-05  1.50565799e+00  3.75695359e-01  2.98539870e-02 
 3.06338325e-05  1.53033412e+00  3.81864769e-01  3.11038037e-02 
 3.11338325e-05  1.55499515e+00  3.88030419e-01  3.23806315e-02 
 3.16338325e-05  1.57964083e+00  3.94192230e-01  3.36844260e-02 
 3.21338325e-05  1.60427092e+00  4.00350159e-01  3.50151372e-02 
 3.26338325e-05  1.62888517e+00  4.06504127e-01  3.63727105e-02 
 3.31338325e-05  1.65348335e+00  4.12654092e-01  3.77570859e-02 
 3.36338325e-05  1.67806521e+00  4.18799975e-01  3.91681993e-02 
 3.41338325e-05  1.70263051e+00  4.24941733e-01  4.06059819e-02 
 3.46338325e-05  1.72717901e+00  4.31079289e-01  4.20703607e-02 
 3.51338325e-05  1.75171046e+00  4.37212597e-01  4.35612587e-02 
 3.56338325e-05  1.77622462e+00  4.43341582e-01  4.50785952e-02 
 3.61338325e-05  1.80072125e+00  4.49466198e-01  4.66222855e-02 
 3.66338325e-05  1.82520010e+00  4.55586372e-01  4.81922417e-02 
 3.71338325e-05  1.84966095e+00  4.61702055e-01  4.97883723e-02 
 3.76338325e-05  1.87410353e+00  4.67813174e-01  5.14105830e-02 
 3.81338325e-05  1.89852762e+00  4.73919682e-01  5.30587761e-02 
 3.86338325e-05  1.92293298e+00  4.80021507e-01  5.47328512e-02 
 3.91338325e-05  1.94731935e+00  4.86118599e-01  5.64327050e-02 
 3.96338325e-05  1.97168651e+00  4.92210888e-01  5.81582317e-02 
 4.01338325e-05  1.99603420e+00  4.98298324e-01  5.99093229e-02 
 4.06338325e-05  2.02036220e+00  5.04380836e-01  6.16858681e-02 
 4.11338325e-05  2.04467025e+00  5.10458375e-01  6.34877541e-02 
 4.16338325e-05  2.06895813e+00  5.16530870e-01  6.53148660e-02 
 4.21338325e-05  2.09322558e+00  5.22598272e-01  6.71670865e-02 
 4.26338325e-05  2.11747238e+00  5.28660512e-01  6.90442967e-02 
 4.31338325e-05  2.14169828e+00  5.34717538e-01  7.09463756e-02 
 4.36338325e-05  2.16590304e+00  5.40769281e-01  7.28732006e-02 
 4.41338325e-05  2.19008642e+00  5.46815692e-01  7.48246474e-02 
 4.46338325e-05  2.21424819e+00  5.52856701e-01  7.68005902e-02 
 4.51338325e-05  2.23838810e+00  5.58892257e-01  7.88009018e-02 
 4.56338325e-05  2.26250593e+00  5.64922293e-01  8.08254533e-02 
 4.61338325e-05  2.28660142e+00  5.70946757e-01  8.28741149e-02 
 4.66338325e-05  2.31067434e+00  5.76965582e-01  8.49467553e-02 
 4.71338325e-05  2.33472446e+00  5.82978715e-01  8.70432421e-02 
 4.76338325e-05  2.35875154e+00  5.88986092e-01  8.91634418e-02 
 4.81338325e-05  2.38275533e+00  5.94987658e-01  9.13072198e-02 
 4.86338325e-05  2.40673561e+00  6.00983348e-01  9.34744408e-02 
 4.91338325e-05  2.43069214e+00  6.06973109e-01  9.56649683e-02 
 4.96338325e-05  2.45462468e+00  6.12956877e-01  9.78786650e-02 
 5.01338325e-05  2.47853299e+00  6.18934598e-01  1.00115393e-01 
 5.06338325e-05  2.50241683e+00  6.24906207e-01  1.02375014e-01 
 5.11338325e-05  2.52627598e+00  6.30871650e-01  1.04657387e-01 
 5.16338325e-05  2.55011020e+00  6.36830865e-01  1.06962373e-01 
 5.21338325e-05  2.57391925e+00  6.42783796e-01  1.09289832e-01 
 5.26338325e-05  2.59770289e+00  6.48730380e-01  1.11639622e-01 
 5.31338325e-05  2.62146090e+00  6.54670564e-01  1.14011601e-01 
 5.36338325e-05  2.64519303e+00  6.60604284e-01  1.16405627e-01 
 5.41338325e-05  2.66889906e+00  6.66531486e-01  1.18821558e-01 
 5.46338325e-05  2.69257874e+00  6.72452107e-01  1.21259251e-01 
 5.51338325e-05  2.71623185e+00  6.78366093e-01  1.23718561e-01 
 5.56338325e-05  2.73985816e+00  6.84273381e-01  1.26199347e-01 
 5.61338325e-05  2.76345742e+00  6.90173918e-01  1.28701463e-01 
 5.66338325e-05  2.78702941e+00  6.96067640e-01  1.31224766e-01 
 5.71338325e-05  2.81057389e+00  7.01954494e-01  1.33769111e-01 
 5.76338325e-05  2.83409063e+00  7.07834419e-01  1.36334354e-01 
 5.81338325e-05  2.85757940e+00  7.13707358e-01  1.38920350e-01 
 5.86338325e-05  2.88103996e+00  7.19573252e-01  1.41526955e-01 
 5.91338325e-05  2.90447210e+00  7.25432044e-01  1.44154022e-01 
 5.96338325e-05  2.92787556e+00  7.31283676e-01  1.46801409e-01 
 6.01338325e-05  2.95125013e+00  7.37128091e-01  1.49468968e-01 
 6.06338325e-05  2.97459557e+00  7.42965229e-01  1.52156556e-01 
 6.11338325e-05  2.99791166e+00  7.48795035e-01  1.54864027e-01 
 6.16338325e-05  3.02119815e+00  7.54617450e-01  1.57591237e-01 
 6.21338325e-05  3.04445483e+00  7.60432418e-01  1.60338040e-01 
 6.26338325e-05  3.06768146e+00  7.66239879e-01  1.63104291e-01 
 6.31338325e-05  3.09087781e+00  7.72039778e-01  1.65889845e-01 
 6.36338325e-05  3.11404366e+00  7.77832056e-01  1.68694558e-01 
 6.41338325e-05  3.13717877e+00  7.83616659e-01  1.71518286e-01 
 6.46338325e-05  3.16028292e+00  7.89393525e-01  1.74360882e-01 
 6.51338325e-05  3.18335588e+00  7.95162602e-01  1.77222204e-01 
 6.56338325e-05  3.20639742e+00  8.00923829e-01  1.80102106e-01 
 6.61338325e-05  3.22940732e+00  8.06677153e-01  1.83000445e-01 
 6.66338325e-05  3.25238534e+00  8.12422513e-01  1.85917076e-01 
 6.71338325e-05  3.27533126e+00  8.18159856e-01  1.88851857e-01 
 6.76338325e-05  3.29824486e+00  8.23889123e-01  1.91804643e-01 
 6.81338325e-05  3.32112590e+00  8.29610258e-01  1.94775291e-01 
 6.86338325e-05  3.34397417e+00  8.35323205e-01  1.97763659e-01 
 6.91338325e-05  3.36678943e+00  8.41027908e-01  2.00769602e-01 
 6.96338325e-05  3.38957146e+00  8.46724309e-01  2.03792979e-01 
 7.01338325e-05  3.41232004e+00  8.52412354e-01  2.06833648e-01 
 7.06338325e-05  3.43503494e+00  8.58091985e-01  2.09891465e-01 
 7.11338325e-05  3.45771594e+00  8.63763148e-01  2.12966290e-01 
 7.16338325e-05  3.48036281e+00  8.69425784e-01  2.16057981e-01 
 7.21338325e-05  3.50297534e+00  8.75079840e-01  2.19166397e-01 
 7.26338325e-05  3.52555329e+00  8.80725258e-01  2.22291396e-01 
 7.31338325e-05  3.54809644e+00  8.86361985e-01  2.25432839e-01 
 7.36338325e-05  3.57060458e+00  8.91989962e-01  2.28590584e-01 
 7.41338325e-05  3.59307747e+00  8.97609136e-01  2.31764492e-01 
 7.46338325e-05  3.61551490e+00  9.03219450e-01  2.34954423e-01 
 7.51338325e-05  3.63791665e+00  9.08820850e-01  2.38160238e-01 
 7.56338325e-05  3.66028250e+00  9.14413280e-01  2.41381798e-01 
 7.61338325e-05  3.68261222e+00  9.19996685e-01  2.44618963e-01 
 7.66338325e-05  3.70490559e+00  9.25571009e-01  2.47871597e-01 
 7.71338325e-05  3.72716240e+00  9.31136199e-01  2.51139560e-01 
 7.76338325e-05  3.74938242e+00  9.36692197e-01  2.54422715e-01 
 7.81338325e-05  3.77156544e+00  9.42238951e-01  2.57720925e-01 
 7.86338325e-05  3.79371123e+00  9.47776405e-01  2.61034053e-01 
 7.91338325e-05  3.81581958e+00  9.53304505e-01  2.64361962e-01 
 7.96338325e-05  3.83789027e+00  9.58823196e-01  2.67704517e-01 
 8.01338325e-05  3.85992308e+00  9.64332423e-01  2.71061581e-01 
 8.06338325e-05  3.88191780e+00  9.69832132e-01  2.74433018e-01 
 8.11338325e-05  3.90387420e+00  9.75322270e-01  2.77818694e-01 
 8.16338325e-05  3.92579207e+00  9.80802781e-01  2.81218475e-01 
 8.21338325e-05  3.94767120e+00  9.86273612e-01  2.84632225e-01 
 8.26338325e-05  3.96951137e+00  9.91734708e-01  2.88059811e-01 
 8.31338325e-05  3.99131235e+00  9.97186016e-01  2.91501099e-01 
 8.36338325e-05  4.01307395e+00  1.00262748e+00  2.94955956e-01 
 8.41338325e-05  4.03479594e+00  1.00805905e+00  2.98424250e-01 
 8.46338325e-05  4.05647810e+00  1.01348067e+00  3.01905847e-01 
 8.51338325e-05  4.07812023e+00  1.01889229e+00  3.05400616e-01 
 8.56338325e-05  4.09972211e+00  1.02429385e+00  3.08908426e-01 
 8.61338325e-05  4.12128353e+00  1.02968530e+00  3.12429144e-01 
 8.66338325e-05  4.14280427e+00  1.03506659e+00  3.15962641e-01 
 8.71338325e-05  4.16428413e+00  1.04043767e+00  3.19508786e-01 
 8.76338325e-05  4.18572288e+00  1.04579847e+00  3.23067448e-01 
 8.81338325e-05  4.20712033e+00  1.05114895e+00  3.26638498e-01 
 8.86338325e-05  4.22847625e+00  1.05648906e+00  3.30221807e-01 
 8.91338325e-05  4.24979044e+00  1.06181874e+00  3.33817246e-01 
 8.96338325e-05  4.27106268e+00  1.06713794e+00  3.37424686e-01 
 9.01338325e-05  4.29229277e+00  1.07244661e+00  3.41044000e-01 
 9.06338325e-05  4.31348050e+00  1.07774469e+00  3.44675059e-01 
 9.11338325e-05  4.33462565e+00  1.08303214e+00  3.48317737e-01 
 9.16338325e-05  4.35572803e+00  1.08830890e+00  3.51971907e-01 
 9.21338325e-05  4.37678741e+00  1.09357491e+00  3.55637441e-01 
 9.26338325e-05  4.39780360e+00  1.09883014e+00  3.59314215e-01 
 9.31338325e-05  4.41877638e+00  1.10407451e+00  3.63002102e-01 
 9.36338325e-05  4.43970555e+00  1.10930799e+00  3.66700977e-01 
 9.41338325e-05  4.46059090e+00  1.11453052e+00  3.70410715e-01 
 9.46338325e-05  4.48143223e+00  1.11974205e+00  3.74131192e-01 
 9.51338325e-05  4.50222933e+00  1.12494253e+00  3.77862284e-01 
 9.56338325e-05  4.52298200e+00  1.13013191e+00  3.81603866e-01 
 9.61338325e-05  4.54369002e+00  1.13531013e+00  3.85355816e-01 
 9.66338325e-05  4.56435320e+00  1.14047715e+00  3.89118011e-01 
 9.71338325e-05  4.58497133e+00  1.14563291e+00  3.92890327e-01 
 9.76338325e-05  4.60554421e+00  1.15077737e+00  3.96672644e-01 
 9.81338325e-05  4.62607163e+00  1.15591046e+00  4.00464839e-01 
 9.86338325e-05  4.64655340e+00  1.16103215e+00  4.04266791e-01 
 9.91338325e-05  4.66698931e+00  1.16614238e+00  4.08078379e-01 
 9.96338325e-05  4.68737916e+00  1.17124110e+00  4.11899482e-01 
 1.00133833e-04  4.70772274e+00  1.17632826e+00  4.15729981e-01 
 1.00633833e-04  4.72801986e+00  1.18140380e+00  4.19569755e-01 
 1.01133833e-04  4.74827032e+00  1.18646769e+00  4.23418685e-01 
 1.01633833e-04  4.76847391e+00  1.19151987e+00  4.27276653e-01 
 1.02133833e-04  4.78863044e+00  1.19656029e+00  4.31143539e-01 
 1.02633833e-04  4.80873971e+00  1.20158890e+00  4.35019225e-01 
 1.03133833e-04  4.82880152e+00  1.20660565e+00  4.38903593e-01 
 1.03633833e-04  4.84881566e+00  1.21161049e+00  4.42796527e-01 
 1.04133833e-04  4.86878196e+00  1.21660337e+00  4.46697908e-01 
 1.04633833e-04  4.88870020e+00  1.22158425e+00  4.50607620e-01 
 1.05133833e-04  4.90857019e+00  1.22655306e+00  4.54525548e-01 
 1.05633833e-04  4.92839174e+00  1.23150978e+00  4.58451574e-01 
