 time            v(NIN)          v(NSKOUT)      
 0.00000000e+00  0.00000000e+00 -1.01249157e-04 
 5.00000000e-09  2.01061928e-03 -1.01236548e-04 
 1.00000000e-08  4.02123843e-03 -1.01195123e-04 
 2.00000000e-08  8.04247584e-03 -1.01024781e-04 
 4.00000000e-08  1.60849435e-02 -9.99480928e-05 
 8.00000000e-08  3.21698221e-02 -9.47051982e-05 
 1.60000000e-07  6.43391239e-02 -7.97536633e-05 
 2.78183920e-07  1.11860746e-01 -6.49470974e-05 
 4.57569523e-07  1.83983401e-01 -6.07984980e-05 
 8.16340730e-07  3.28177971e-01 -5.84152159e-05 
 1.31634073e-06  5.28945863e-01 -3.83587885e-05 
 1.81634073e-06  7.29379662e-01  7.12247294e-06 
 2.31634073e-06  9.29352768e-01  9.02910101e-05 
 2.81634073e-06  1.12873888e+00  2.20323589e-04 
 3.31634073e-06  1.32741205e+00  4.07452792e-04 
 3.81634073e-06  1.52524680e+00  6.60509791e-04 
 4.31634073e-06  1.72211817e+00  9.88393549e-04 
 4.81634073e-06  1.91790181e+00  1.39923631e-03 
 5.31634073e-06  2.11247407e+00  1.90089523e-03 
 5.81634073e-06  2.30571204e+00  2.50069786e-03 
 6.31634073e-06  2.49749368e+00  3.20559297e-03 
 6.81634073e-06  2.68769784e+00  4.02209085e-03 
 7.31634073e-06  2.87620440e+00  4.95630405e-03 
 7.81634073e-06  3.06289429e+00  6.01394629e-03 
 8.31634073e-06  3.24764958e+00  7.20034228e-03 
 8.81634073e-06  3.43035359e+00  8.52044037e-03 
 9.31634073e-06  3.61089092e+00  9.97881634e-03 
 9.81634073e-06  3.78914753e+00  1.15796867e-02 
 1.03163407e-05  3.96501083e+00  1.33269129e-02 
 1.08163407e-05  4.13836975e+00  1.52240127e-02 
 1.13163407e-05  4.30911478e+00  1.72741657e-02 
 1.18163407e-05  4.47713809e+00  1.94802224e-02 
 1.23163407e-05  4.64233353e+00  2.18447113e-02 
 1.28163407e-05  4.80459679e+00  2.43698464e-02 
 1.33163407e-05  4.96382535e+00  2.70575345e-02 
 1.38163407e-05  5.11991866e+00  2.99093820e-02 
 1.43163407e-05  5.27277811e+00  3.29267022e-02 
 1.48163407e-05  5.42230717e+00  3.61105222e-02 
 1.53163407e-05  5.56841138e+00  3.94615893e-02 
 1.58163407e-05  5.71099846e+00  4.29803778e-02 
 1.63163407e-05  5.84997835e+00  4.66670957e-02 
 1.68163407e-05  5.98526328e+00  5.05216908e-02 
 1.73163407e-05  6.11676778e+00  5.45438575e-02 
 1.78163407e-05  6.24440880e+00  5.87330421e-02 
 1.83163407e-05  6.36810572e+00  6.30884504e-02 
 1.88163407e-05  6.48778040e+00  6.76090523e-02 
 1.93163407e-05  6.60335726e+00  7.22935891e-02 
 1.98163407e-05  6.71476331e+00  7.71405784e-02 
 2.03163407e-05  6.82192816e+00  8.21483211e-02 
 2.08163407e-05  6.92478414e+00  8.73149061e-02 
 2.13163407e-05  7.02326627e+00  9.26382170e-02 
 2.18163407e-05  7.11731236e+00  9.81159372e-02 
 2.23163407e-05  7.20686301e+00  1.03745556e-01 
 2.28163407e-05  7.29186164e+00  1.09524375e-01 
 2.33163407e-05  7.37225458e+00  1.15449511e-01 
 2.38163407e-05  7.44799104e+00  1.21517905e-01 
 2.43163407e-05  7.51902319e+00  1.27726327e-01 
 2.48163407e-05  7.58530617e+00  1.34071377e-01 
 2.53163407e-05  7.64679811e+00  1.40549498e-01 
